Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,27414.099609,27522.849609,27151.750000,27445.650391,27445.650391,0
2018-01-29,27446.099609,27652.050781,27407.400391,27498.449219,27498.449219,0
2018-01-30,27466.849609,27470.250000,27242.050781,27269.050781,27269.050781,0
2018-01-31,27136.250000,27455.750000,27116.949219,27379.449219,27379.449219,0
2018-02-01,27334.849609,27613.500000,27046.349609,27220.699219,27220.699219,0
2018-02-02,27017.400391,27017.550781,26364.050781,26451.150391,26451.150391,0
2018-02-05,25968.150391,26215.099609,25917.550781,26098.750000,26098.750000,0
2018-02-06,25140.099609,26140.599609,25023.849609,25811.300781,25811.300781,0
2018-02-07,26065.400391,26078.400391,25558.050781,25670.000000,25670.000000,0
2018-02-08,25759.849609,26126.400391,25637.400391,25920.650391,25920.650391,0
2018-02-09,25466.300781,25598.300781,25371.000000,25463.650391,25463.650391,0
2018-02-12,25530.099609,25757.849609,25485.400391,25701.599609,25701.599609,0
2018-02-14,25810.250000,25810.250000,25212.349609,25341.250000,25341.250000,0
2018-02-15,25360.900391,25615.150391,25295.150391,25424.349609,25424.349609,0
2018-02-16,25511.949219,25601.000000,25100.900391,25163.900391,25163.900391,0
2018-02-19,25324.599609,25326.050781,24824.550781,25058.550781,25058.550781,265300
2018-02-20,25105.550781,25158.099609,24829.000000,24874.400391,24874.400391,0
2018-02-21,24996.599609,24999.699219,24796.349609,24936.699219,24936.699219,0
2018-02-22,24812.699219,24987.050781,24781.699219,24955.199219,24955.199219,0
2018-02-23,25002.250000,25345.150391,24962.849609,25302.500000,25302.500000,0
2018-02-26,25452.000000,25722.150391,25381.199219,25687.900391,25687.900391,0
2018-02-27,25684.599609,25723.550781,25356.400391,25383.599609,25383.599609,0
2018-02-28,25116.250000,25192.949219,24942.000000,25107.400391,25107.400391,0
2018-03-01,25022.349609,25226.050781,24854.400391,24902.550781,24902.550781,0
2018-03-05,24831.349609,24873.050781,24682.000000,24818.699219,24818.699219,134500
2018-03-06,24964.099609,25040.250000,24362.050781,24448.449219,24448.449219,0
2018-03-07,24333.849609,24373.400391,24096.750000,24134.099609,24134.099609,0
2018-03-08,24273.900391,24534.500000,24048.550781,24477.650391,24477.650391,0
2018-03-09,24556.949219,24564.750000,24259.699219,24296.449219,24296.449219,0
2018-03-12,24443.599609,24716.050781,24358.500000,24664.199219,24664.199219,0
2018-03-13,24624.599609,25009.650391,24597.550781,24738.650391,24738.650391,0
2018-03-14,24629.650391,24894.300781,24487.000000,24851.650391,24851.650391,0
2018-03-15,24854.300781,24939.849609,24732.000000,24791.849609,24791.849609,0
2018-03-16,24753.650391,24785.349609,24439.150391,24489.550781,24489.550781,0
2018-03-19,24530.150391,24588.050781,24186.949219,24245.099609,24245.099609,0
2018-03-20,24133.949219,24355.650391,24082.949219,24168.199219,24168.199219,0
2018-03-21,24331.300781,24459.750000,24208.650391,24255.599609,24255.599609,0
2018-03-22,24252.949219,24314.400391,24094.849609,24141.500000,24141.500000,0
2018-03-23,23785.650391,23796.300781,23605.599609,23670.400391,23670.400391,0
2018-03-26,23674.900391,24290.650391,23657.050781,24244.349609,24244.349609,0
2018-03-27,24396.400391,24496.949219,24266.400391,24434.150391,24434.150391,0
2018-03-28,24299.500000,24361.000000,24203.400391,24263.349609,24263.349609,0
2018-04-02,24235.650391,24373.400391,24062.949219,24328.500000,24328.500000,0
2018-04-03,24285.949219,24538.000000,24254.349609,24510.599609,24510.599609,0
2018-04-04,24502.500000,24666.300781,24087.800781,24129.500000,24129.500000,0
2018-04-05,24394.449219,24824.900391,24380.849609,24759.800781,24759.800781,0
2018-04-06,24776.349609,24933.599609,24626.400391,24873.150391,24873.150391,0
2018-04-09,24848.849609,25152.849609,24828.000000,25093.800781,25093.800781,0
2018-04-10,25153.599609,25279.900391,25120.199219,25226.800781,25226.800781,0
2018-04-11,25198.349609,25207.050781,24950.300781,25098.250000,25098.250000,0
2018-04-12,25076.900391,25244.800781,24969.400391,25195.099609,25195.099609,0
2018-04-13,25239.650391,25411.300781,25076.849609,25200.599609,25200.599609,0
2018-04-16,25082.099609,25348.550781,25067.349609,25320.849609,25320.849609,0
2018-04-17,25383.750000,25402.550781,25224.000000,25334.449219,25334.449219,0
2018-04-18,25426.750000,25426.750000,25058.750000,25102.300781,25102.300781,0
2018-04-19,25206.449219,25207.300781,25049.699219,25126.150391,25126.150391,0
2018-04-20,25126.800781,25126.800781,24839.300781,24943.849609,24943.849609,0
2018-04-23,25065.500000,25084.150391,24466.099609,24960.650391,24960.650391,0
2018-04-24,24972.199219,25123.449219,24955.000000,25042.099609,25042.099609,0
2018-04-25,24993.400391,24993.400391,24734.599609,24814.400391,24814.400391,0
2018-04-26,24833.199219,25064.000000,24753.400391,25010.900391,25010.900391,0
2018-04-27,25030.150391,25441.500000,25029.650391,25394.599609,25394.599609,0
2018-04-30,25490.150391,25617.500000,25464.800781,25531.599609,25531.599609,0
2018-05-02,25607.050781,25716.750000,25499.349609,25568.300781,25568.300781,114400
2018-05-03,25547.900391,25653.449219,25469.050781,25605.250000,25605.250000,97400
2018-05-04,25632.300781,25680.400391,25537.699219,25645.400391,25645.400391,94400
2018-05-07,25676.250000,25913.500000,25675.150391,25852.050781,25852.050781,0
2018-05-08,26074.150391,26116.250000,25954.599609,26090.500000,26090.500000,0
2018-05-09,25988.099609,26206.500000,25946.300781,26154.449219,26154.449219,0
2018-05-10,26216.099609,26266.400391,26057.199219,26131.000000,26131.000000,0
2018-05-11,26173.699219,26437.250000,26099.849609,26413.150391,26413.150391,0
2018-05-14,26404.449219,26565.400391,26338.050781,26475.150391,26475.150391,0
2018-05-15,26494.900391,26972.050781,26407.300781,26474.000000,26474.000000,0
2018-05-16,26269.349609,26428.349609,26102.150391,26182.150391,26182.150391,0
2018-05-17,26233.199219,26283.550781,26012.000000,26073.800781,26073.800781,0
2018-05-18,26025.599609,26032.000000,25839.000000,25875.599609,25875.599609,0
2018-05-21,26017.500000,26066.750000,25685.349609,25750.800781,25750.800781,0
2018-05-22,25780.250000,25945.650391,25701.349609,25777.699219,25777.699219,0
2018-05-23,25726.949219,25903.900391,25622.150391,25684.949219,25684.949219,0
2018-05-24,25722.900391,26073.099609,25658.400391,26016.800781,26016.800781,0
2018-05-25,26066.750000,26325.550781,26031.449219,26273.550781,26273.550781,0
2018-05-28,26291.650391,26713.650391,26273.900391,26614.250000,26614.250000,0
2018-05-29,26567.250000,26570.949219,26221.099609,26254.800781,26254.800781,0
2018-05-30,26039.900391,26405.449219,25980.849609,26327.800781,26327.800781,0
2018-05-31,26587.000000,27164.550781,26354.550781,26956.199219,26956.199219,0
2018-06-01,26913.400391,26996.800781,26658.550781,26692.800781,26692.800781,0
2018-06-04,27023.699219,27047.550781,26205.900391,26257.550781,26257.550781,0
2018-06-05,26263.000000,26342.400391,26069.550781,26251.000000,26251.000000,0
2018-06-06,26266.900391,26425.199219,26147.800781,26367.599609,26367.599609,0
2018-06-07,26577.949219,26766.949219,26483.900391,26517.800781,26517.800781,0
2018-06-08,26457.250000,26481.000000,26284.199219,26451.349609,26451.349609,0
2018-06-11,26473.199219,26653.000000,26421.949219,26453.550781,26453.550781,0
2018-06-12,26566.599609,26656.449219,26449.849609,26607.099609,26607.099609,0
2018-06-13,26721.949219,26765.449219,26598.199219,26642.800781,26642.800781,0
2018-06-14,26612.300781,26623.250000,26503.099609,26562.250000,26562.250000,0
2018-06-15,26513.699219,26586.400391,26344.949219,26417.400391,26417.400391,0
2018-06-18,26444.300781,26477.500000,26322.449219,26409.300781,26409.300781,0
2018-06-19,26448.099609,26448.099609,26224.750000,26265.750000,26265.750000,0
2018-06-20,26320.449219,26574.750000,26309.949219,26557.699219,26557.699219,0
2018-06-21,26645.300781,26682.949219,26454.949219,26496.949219,26496.949219,0
2018-06-22,26518.400391,26806.550781,26364.250000,26766.849609,26766.849609,0
2018-06-25,26718.150391,26804.900391,26573.000000,26609.699219,26609.699219,0
